Spectrum Version: 5.441,,,,,,,,,,,,,,
country,module,indicator,configuration,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Brazil,AIDS (AIM),PLHIV on ART,All ages,262656.15,282397.59,303007.27,322097.19,396428.26,424077.82,450868.53,477905.26,505485.32,533828.48,563132.77
Cambodia,AIDS (AIM),PLHIV on ART,All ages,40050.53,44420.27,47188.21,49335.26,51701.99,53832.78,54351.65,53604.47,52959.04,52200.16,51416.36
Cameroon,AIDS (AIM),PLHIV on ART,All ages,82784.59,97526.56,114232.5,128480.84,138272.89,156616.07,225201.5,275466.23,333897.75,395142.71,459122.86
China,AIDS (AIM),PLHIV on ART,All ages,77496.82,108369.89,150807.38,201852.73,265069.15,342339.1,334532.3,382575.98,449896.1,523682.61,604805.96
Cote d'Ivoire,AIDS (AIM),PLHIV on ART,All ages,119255.07,124456.47,132762.2,139100.1,146783.3,154258.24,262513.66,299713.2,335631.51,372642.42,410925.28
DRC,AIDS (AIM),PLHIV on ART,All ages,39238.61,48433.16,59788.08,73223.93,90304.85,111729.36,152331.86,175970.16,199738.13,224197.45,249846.36
Ethiopia,AIDS (AIM),PLHIV on ART,All ages,200355.63,243938.66,271626.95,302745.85,339663.2,376244.28,457350.23,498599.98,540647.42,554702.77,565429.78
Haiti,AIDS (AIM),PLHIV on ART,All ages,28920.33,33165.83,39871.29,48727.63,58994.93,66630.46,69620.28,73494.98,82194.75,91226.97,100666.93
Indonesia,AIDS (AIM),PLHIV on ART,All ages,18169.40214,22468.68087,28545.19435,35820.5902,44895.63182,56719.16124,78577.5,108031.64,136701.24,165554.23,180601.85
Jamaica,AIDS (AIM),PLHIV on ART,All ages,5405.51108,6145.28603,7025.17684,8328.17,8766.43,9139.72,14004.49,19857.74,21276.17,22645.8,24014.28
Kenya,AIDS (AIM),PLHIV on ART,All ages,388056.944,501693.8917,579881.6003,630059.8371,710323.8276,831483.5139,957442.569,1036578.722,1106424.027,1184843.272,1268500.49
Malawi,AIDS (AIM),PLHIV on ART,All ages,224771.71,287175.28,364230.49,436038.64,502021.78,565799.84,618567.76,668421.47,719988.16,769653.75,816337.62
Morocco,AIDS (AIM),PLHIV on ART,All ages,2818.27034,3501.40713,4514.99459,5693.27336,6755.11509,8078.34991,12311.77076,14912.09,16345.08,19069.41,20120.02
Mozambique,AIDS (AIM),PLHIV on ART,All ages,194557.08,245925.11,294118.51,403491.27,572934.04,722211.84,855635.6,964523.17,1068650.92,1169171.72,1271981.76
Myanmar,AIDS (AIM),PLHIV on ART,All ages,25475.46486,34965.23789,46909.49736,60666.94908,76637.18,96064.38,118474.1,131001.9,143832.97,157256.98,171391.25
Nigeria,AIDS (AIM),PLHIV on ART,All ages,369802.3203,428073.0362,513751.09,631513.87,762880.03,868505.2,1321295.03,1751368.17,2282599.74,2845456.19,3428470.55
Pakistan,AIDS (AIM),PLHIV on ART,All ages,1612.22865,2256.07,2833.13,3724.89,4754.98,5841.19,15721.52,26954.49,40601.99,56714.43,75337.67
Philippines,AIDS (AIM),PLHIV on ART,All ages,1073.12316,1498.1525,2819.22318,4548.42008,6767.83952,10088.66904,16456.15407,24276.20932,32433.38401,38101.18907,43418.33082
Russia,AIDS (AIM),PLHIV on ART,All ages,77417.93,79159.73,101745.74,138401.03,180919.65,199821.17,239343.88,261338.43,289355.19,319497.26,352244.73
South Sudan,AIDS (AIM),PLHIV on ART,All ages,2034.78,2944.43,4093.47,5858.66,9237.82,15425.86,24761.39,34569.06,43799.48,52450.96,60452.55
South Africa,AIDS (AIM),PLHIV on ART,All ages,1052741.29,1476379.86,1951758.19,2418842.53,2843061.07,3201997.04,4961487.08,5253263.85,5433517.14,5584712.81,5718495.57
Thailand,AIDS (AIM),PLHIV on ART,All ages,216636.26,224715.4,231608.65,246857.78,263232.95,276639.51,286753.09,291704.82,292622.44,292778.36,289627.76
Tanzania,AIDS (AIM),PLHIV on ART,All ages,232929.52,260038.84,348696.07,471231.85,576497.75,689811.28,1001547.44,1104343.89,1138863.4,1158300.32,1171843.73
Uganda,AIDS (AIM),PLHIV on ART,All ages,232574.03,286835.61,375774.52,516964.7,671941.74,791832.26,912755.87,1016367.48,1120138.21,1227576.51,1338596.82
Ukraine,AIDS (AIM),PLHIV on ART,All ages,19280.34,25120.45,34514.4,48636.53,61107.47,63583.49,84693.59,113444.8,119826.77,121113.7,121253.11
Vietnam,AIDS (AIM),PLHIV on ART,All ages,44691.81116,55879.60087,67442.83608,78199.16,88274.43,99926.16,113461.12,121377.46,122621.94,123567.45,124319.26
Zambia,AIDS (AIM),PLHIV on ART,All ages,314065.72,379987.3,448251.75,530680.9,625769.9,715043.89,705650.16,712631.57,781352.04,869654.05,962477.34
Zimbabwe,AIDS (AIM),PLHIV on ART,All ages,292572.97,434656.7,535071.89,625030.13,736868,833120.9,1094219.75,1319442.7,1345911.07,1364418.17,1452378.89
