Spectrum Version: 5.441,,,Uncertainty Analysis,,,,,
country,type,2010,2011,2012,2013,2014,2015,2016
Brazil,Lower,31396,31670,31734,31756,31867,32117,32165
Brazil,Median,42947,43258,43448,43658,43814,44175,44419
Brazil,Upper,57591,58042,58353,58601,58460,59081,59530
Cambodia,Lower,1481,1154,998,869,775,635,573
Cambodia,Median,1662,1275,1106,970,874,704,637
Cambodia,Upper,1838,1398,1211,1067,978,775,698
Cameroon,Lower,39807,40289,39770,38711,37602,34858,32823
Cameroon,Median,44772,45964,46332,45729,45485,43716,41581
Cameroon,Upper,48937,50996,51897,51889,52261,51237,49766
China,Lower,31815,28292,25820,21337,18345,14169,27345
China,Median,56845,57803,58680,59471,60224,60891,62748
China,Upper,98861,107590,117331,124420,130500,138936,125692
Cote d'Ivoire,Lower,16185,16196,15771,14973,13995,13139,11065
Cote d'Ivoire,Median,25717,26535,26462,26074,25640,25004,21874
Cote d'Ivoire,Upper,36303,37943,38781,39208,39966,40152,36329
DRC,Lower,16948,15413,14202,12770,11301,8758,8699
DRC,Median,23182,21624,20594,19187,17610,14879,14454
DRC,Upper,29594,27795,26508,25182,23655,21003,20158
Ethiopia,Lower,18198,18667,18728,19450,19508,18746,15316
Ethiopia,Median,25165,25676,26214,27667,28328,28494,23018
Ethiopia,Upper,33631,34630,35454,37760,39115,40282,32800
Haiti,Lower,1642,990,547,406,343,313,426
Haiti,Median,2787,1982,1342,1057,1028,1021,1126
Haiti,Upper,4447,3398,2585,2085,2125,2225,2359
Indonesia,Lower,61953,62825,62796,63474,64081,66026,67685
Indonesia,Median,68533,69447,69533,70338,70978,73066,74899
Indonesia,Upper,74983,75918,76045,76800,77504,79838,81831
Jamaica,Lower,1316,1315,1335,1333,1324,1298,1225
Jamaica,Median,1646,1649,1661,1671,1661,1654,1581
Jamaica,Upper,2056,2052,2064,2070,2060,2055,1979
Kenya,Lower,66038,62826,63658,62623,56538,49657,59115
Kenya,Median,83096,80899,83305,84765,81312,77627,92039
Kenya,Upper,105257,104996,109615,114626,119570,131240,174398
Malawi,Lower,47251,41797,36246,31668,28173,24161,23682
Malawi,Median,56459,50964,45244,40661,37263,33002,32670
Malawi,Upper,68260,63007,56717,52283,48588,43927,43915
Morocco,Lower,1356,1239,1032,992,964,951,901
Morocco,Median,1776,1610,1309,1280,1238,1226,1167
Morocco,Upper,2303,2081,1711,1667,1614,1595,1508
Mozambique,Lower,95379,89237,79584,71740,60619,52767,44743
Mozambique,Median,126488,120630,110178,103019,90567,81395,72741
Mozambique,Upper,163713,159153,148927,143011,130588,121564,113214
Myanmar,Lower,13885,13173,12362,11840,11245,10655,10098
Myanmar,Median,15414,14657,13767,13137,12425,11763,11149
Myanmar,Upper,16899,16090,15103,14406,13565,12832,12149
Nigeria,Lower,169959,168133,163670,158275,150234,147592,140468
Nigeria,Median,256065,258076,255546,251690,245799,247535,238320
Nigeria,Upper,372622,380406,382965,386671,390119,404710,399949
Pakistan,Lower,7939,9112,10102,10870,11434,12026,12423
Pakistan,Median,10863,12317,13666,14810,15888,16983,17805
Pakistan,Upper,16636,19205,22013,24526,27349,30364,33457
Philippines,Lower,3140,3296,3779,4094,4714,3369,3858
Philippines,Median,4178,4512,5360,6082,7245,6357,7482
Philippines,Upper,6290,8181,12150,18030,27965,33785,45078
Russia,Lower,96974,106271,116465,127517,139863,153398,168136
Russia,Median,97325,106692,116951,128148,140505,154178,169015
Russia,Upper,102953,113041,124096,136042,149230,163725,179302
South Sudan,Lower,9172,8726,8602,7917,7439,6363,4822
South Sudan,Median,14819,15137,15440,15621,15971,15396,13809
South Sudan,Upper,21115,21448,21997,22502,23354,22927,20487
South Africa,Lower,311480,318727,324848,327521,333862,330918,299031
South Africa,Median,350547,358304,367504,369324,378524,376384,340513
South Africa,Upper,402433,412008,423551,424230,434422,432335,392177
Thailand,Lower,10431,9763,8934,7985,7203,6300,5719
Thailand,Median,11508,10784,9826,8809,7939,6936,6344
Thailand,Upper,12559,11749,10742,9630,8661,7569,6920
Tanzania,Lower,72201,68097,63309,56832,49921,45248,38950
Tanzania,Median,82117,77484,73282,66249,59305,54255,45753
Tanzania,Upper,92061,87832,83597,76549,69591,64329,53507
Uganda,Lower,112811,106825,89182,85012,71534,63190,59742
Uganda,Median,126176,121015,103954,101164,89125,83265,79878
Uganda,Upper,140784,137650,121998,122403,113164,110919,110238
Ukraine,Lower,6966,7274,7869,8680,9916,11556,12187
Ukraine,Median,9549,9923,10721,11773,13539,15691,16714
Ukraine,Upper,12288,12749,13780,15142,17523,20653,22462
Vietnam,Lower,16777,15977,15160,14260,13493,12835,11390
Vietnam,Median,18507,17656,16779,15777,14946,14167,12591
Vietnam,Upper,20229,19326,18281,17222,16270,15495,13753
Zambia,Lower,65135,64987,63599,60440,57279,51910,54310
Zambia,Median,72521,72231,71552,68331,65517,60119,63439
Zambia,Upper,81355,80840,80359,76619,74269,68848,72111
Zimbabwe,Lower,63058,58187,53983,52070,47489,45191,40594
Zimbabwe,Median,78578,73871,69857,69066,65344,63889,59012
Zimbabwe,Upper,94764,90734,87389,88250,86705,87861,83635
