Spectrum Version: 5.441,,,,,,,,,,,,,,
country,module,indicator,configuration,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Brazil,AIDS (AIM),PLHIV,Total Region; Male+Female,701341,726406,751567,776320,801381,826698,851958,877000,901838,926474,950910
Cambodia,AIDS (AIM),PLHIV,Total Region; Male+Female,84065,81783,79632,77610,75800,74104,72575,70872,69003,67030,65011
Cameroon,AIDS (AIM),PLHIV,Total Region; Male+Female,575805,586382,596537,606632,614314,619216,628639,639812,651746,664238,676451
China,AIDS (AIM),PLHIV,Total Region; Male+Female,711489,727447,748150,773956,804617,839643,875494,909749,946616,986455,1028886
Cote d'Ivoire,AIDS (AIM),PLHIV,Total Region; Male+Female,465540,470307,472247,470724,467971,464662,466006,468671,471359,473803,475435
DRC,AIDS (AIM),PLHIV,Total Region; Male+Female,445490,429480,413305,398912,385876,374097,367704,361373,356324,351744,347588
Ethiopia,AIDS (AIM),PLHIV,Total Region; Male+Female,714220,708067,706490,705729,705051,706950,708962,710699,713472,715989,718486
Haiti,AIDS (AIM),PLHIV,Total Region; Male+Female,184859,172180,160173,149609,140784,133519,127413,121565,117032,113587,110824
Indonesia,AIDS (AIM),PLHIV,Total Region; Male+Female,500111,544795,585464,623426,658492,692777,726603,762451,799794,838471,877927
Jamaica,AIDS (AIM),PLHIV,Total Region; Male+Female,28791,28736,28715,28794,28946,29038,29416,29790,30056,30289,30481
Kenya,AIDS (AIM),PLHIV,Total Region; Male+Female,1353368,1379250,1414937,1451907,1485111,1517674,1567989,1620579,1673075,1725901,1778840
Malawi,AIDS (AIM),PLHIV,Total Region; Male+Female,964452,966787,968105,971124,974711,976281,979580,981469,982422,983403,984352
Morocco,AIDS (AIM),PLHIV,Total Region; Male+Female,22960,23423,23600,23829,24067,24309,24714,25082,25455,25867,26274
Mozambique,AIDS (AIM),PLHIV,Total Region; Male+Female,1331233,1379543,1417124,1447996,1476498,1505905,1531253,1552531,1568871,1580775,1588112
Myanmar,AIDS (AIM),PLHIV,Total Region; Male+Female,234676,230790,227422,225300,224348,224795,227043,230176,233582,237292,241265
Nigeria,AIDS (AIM),PLHIV,Total Region; Male+Female,3174713,3225118,3270795,3322538,3385239,3455702,3542701,3637854,3739202,3838991,3925127
Pakistan,AIDS (AIM),PLHIV,Total Region; Male+Female,48072,57667,68079,78996,90353,102042,114635,127205,139640,151811,163514
Philippines,AIDS (AIM),PLHIV,Total Region; Male+Female,16351,20365,25124,30506,36979,42453,49044,56009,63332,70307,77091
Russia,AIDS (AIM),PLHIV,Total Region; Male+Female,669067,748152,831700,929280,1036422,1150789,1274235,1406994,1550691,1707318,1878344
South Sudan,AIDS (AIM),PLHIV,Total Region; Male+Female,157875,162802,167592,171954,176132,179120,181590,185184,189216,193719,198618
South Africa,AIDS (AIM),PLHIV,Total Region; Male+Female,6350948,6410017,6500156,6633986,6805499,6984587,7160127,7259411,7352168,7439845,7524188
Thailand,AIDS (AIM),PLHIV,Total Region; Male+Female,481043,472765,464404,455447,446696,438101,429746,421327,411917,402263,392320
Tanzania,AIDS (AIM),PLHIV,Total Region; Male+Female,1369928,1374592,1371776,1373697,1378505,1385779,1396758,1397394,1394863,1391464,1387140
Uganda,AIDS (AIM),PLHIV,Total Region; Male+Female,1210196,1271552,1319142,1370340,1415905,1461744,1507475,1548261,1586776,1622392,1655160
Ukraine,AIDS (AIM),PLHIV,Total Region; Male+Female,225032,218319,213006,211442,213810,218972,224028,232628,241090,249040,256452
Vietnam,AIDS (AIM),PLHIV,Total Region; Male+Female,234225,240619,245703,249413,252365,255113,256970,256668,255008,252102,248329
Zambia,AIDS (AIM),PLHIV,Total Region; Male+Female,1050550,1081339,1114067,1147392,1181946,1211883,1243511,1270684,1294904,1318897,1341993
Zimbabwe,AIDS (AIM),PLHIV,Total Region; Male+Female,1220058,1255412,1297889,1341588,1385652,1425762,1464297,1493651,1517499,1538042,1553647
