country,prop.Off.ART.500,prop.Off.ART.350500,prop.Off.ART.250350,prop.Off.ART.200250,prop.Off.ART.100200,prop.Off.ART.50100,prop.Off.ART.50,prop.On.ART.500,prop.On.ART.350500,prop.On.ART.250350,prop.On.ART.200250,prop.On.ART.100200,prop.On.ART.50100,prop.On.ART.50
Brazil,0.430408651,0.320491806,0.140085193,0.075877554,0.027159125,0.004700043,0.001277629,0.03497287,0.124444396,0.098998265,0.128867263,0.509098365,0.081749815,0.021869027
Cambodia,0.354963694,0.31395418,0.156701472,0.078489536,0.066172009,0.02083986,0.008879248,0.072323063,0.063510303,0.14058544,0.087962061,0.425563822,0.142192186,0.067863125
Cameroon,0.335007349,0.411134248,0.152008819,0.051077903,0.040237629,0.007961783,0.002572268,0.037140305,0.005765951,0.187488157,0.098508432,0.442976638,0.133943315,0.094177201
China,0.364040943,0.305246502,0.157376827,0.076744301,0.06829639,0.021039098,0.007255938,0.119134193,0.139561608,0.166952525,0.111098724,0.243439558,0.128747599,0.091065793
Cote d'Ivoire,0.455792445,0.319219266,0.134439974,0.055624287,0.029336376,0.004955859,0.000631794,0.00620884,0.18285186,0.253506439,0.158910364,0.238135508,0.101987968,0.058399022
DRC,0.331201288,0.298000652,0.174878745,0.09069177,0.076072032,0.022087659,0.007067853,0.073739528,0.08363314,0.168024361,0.116564732,0.29877422,0.150794059,0.108469959
Ethiopia,0.409917715,0.296945961,0.153754253,0.074784397,0.050771422,0.011361658,0.002464594,0.027201183,0.080835953,0.096656513,0.075503179,0.50999491,0.142514322,0.067293941
Haiti,0.299065048,0.263520922,0.191256504,0.106313418,0.098857724,0.030161673,0.010824711,0.076756396,0.155575465,0.187932328,0.133386116,0.243853654,0.122656055,0.079839987
Indonesia,0.233454434,0.403969864,0.183235104,0.083754643,0.06723628,0.020406373,0.007943301,0.056117999,0.10535396,0.198498464,0.118321768,0.282694422,0.130284761,0.108728624
Jamaica,0.373262447,0.327352273,0.151741707,0.070498975,0.054549482,0.016447915,0.006147201,0.009568651,0.007897934,0.240431349,0.145808019,0.356166464,0.150668287,0.089459295
Kenya,0.450732766,0.327893139,0.132898935,0.051123531,0.029905484,0.006222585,0.00122356,0.083732946,0.12970176,0.242424899,0.190215945,0.215772051,0.087979148,0.050173251
Malawi,0.412324255,0.322377844,0.153829399,0.066180507,0.036811042,0.007032798,0.001444155,0.12001582,0.160202158,0.201402291,0.194803862,0.200713912,0.083809567,0.039052389
Morocco,0.373672462,0.318879794,0.161469255,0.074545086,0.053236826,0.013934925,0.004261652,0.060996564,0.103436426,0.205154639,0.129896907,0.291924399,0.132646048,0.075945017
Mozambique,0.45517743,0.397506677,0.096023025,0.027465599,0.016868084,0.004882906,0.002076278,0.097049155,0.078654421,0.301086113,0.219201174,0.240376168,0.047366899,0.01626607
Myanmar,0.40930471,0.289622734,0.128543993,0.079326845,0.074200059,0.015136226,0.003865434,0.107406717,0.111986389,0.136527839,0.120551425,0.293297131,0.132356026,0.097874473
Nigeria,0.382568737,0.316195683,0.14961694,0.070599461,0.056364804,0.017516476,0.0071379,0.041291794,0.099022389,0.277248321,0.134047448,0.273866679,0.108161444,0.066361925
Pakistan,0.431718735,0.338054013,0.125599887,0.053072363,0.036957749,0.010680343,0.00391691,0.152819333,0.21726122,0.202991945,0.118757192,0.151208285,0.084695052,0.072266974
Philippines,0.513304889,0.392925773,0.065563626,0.018499821,0.007100283,0.001856496,0.000749112,0.090107405,0.066930469,0.499152063,0.143357829,0.166534765,0.025664217,0.00825325
Russia,0.428433743,0.333033791,0.131861438,0.056919373,0.036794868,0.009748296,0.00320849,0.000301872,0.16701885,0.095609445,0.276581472,0.277872811,0.119734018,0.062881532
South Sudan,0.430948374,0.344606209,0.139504541,0.052444436,0.026736084,0.004904964,0.000855391,0.043080783,0.091388191,0.276440561,0.165792358,0.264394328,0.107931646,0.050972134
South Africa,0.362364035,0.305508721,0.156406201,0.078594769,0.067493771,0.021441041,0.008191462,0.100649351,0.181568432,0.171911422,0.118048618,0.192307692,0.124875125,0.110639361
Thailand,0.352721937,0.33774474,0.163729556,0.06167932,0.061245298,0.015438775,0.007440374,0.023477435,0.084397369,0.18818801,0.080369569,0.407948076,0.112370852,0.103248687
Tanzania,0.47069667,0.332793611,0.12748288,0.044701678,0.020417594,0.003376973,0.000530594,0.150329296,0.217569937,0.177593929,0.174707066,0.194164084,0.059025229,0.026610459
Uganda,0.365419898,0.332227152,0.15125688,0.070434992,0.056364075,0.017564891,0.006732112,0.004148831,0.001229283,0.292196246,0.180770497,0.271254527,0.147426188,0.102974427
Ukraine,0.419293438,0.374686638,0.12761994,0.045639646,0.025809331,0.005723762,0.001227245,0.059331591,0.050878177,0.249348778,0.14880205,0.345464199,0.103381166,0.042794038
Vietnam,0.376760865,0.373431589,0.138257065,0.051426128,0.039721025,0.011685364,0.008717966,0.001843147,0.000567122,0.267245422,0.101580308,0.31059755,0.206181632,0.111984819
Zambia,0.485859486,0.344706559,0.11967462,0.036038393,0.012151084,0.001414287,0.000155572,0.070549114,0.137475353,0.270548346,0.151081775,0.276922457,0.067004955,0.026418
Zimbabwe,0.477065609,0.320006286,0.127440965,0.045023583,0.024420675,0.004737711,0.00130517,0.084577235,0.179003582,0.255352425,0.139613621,0.230806632,0.076313188,0.034333317
