Spectrum Version: 5.441,,,,,,,,,,,,,,
country,module,indicator,configuration,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Brazil,AIDS (AIM),PLHIV not on ART,All ages,438684.85,444008.41,448559.73,454222.81,404952.74,402620.18,401089.47,399094.74,396352.68,392645.52,387777.23
Cambodia,AIDS (AIM),PLHIV not on ART,All ages,44014.47,37362.73,32443.79,28274.74,24098.01,20271.22,18223.35,17267.53,16043.96,14829.84,13594.64
Cameroon,AIDS (AIM),PLHIV not on ART,All ages,493020.41,488855.44,482304.5,478151.16,476041.11,462599.93,403437.5,364345.77,317848.25,269095.29,217328.14
China,AIDS (AIM),PLHIV not on ART,All ages,633992.18,619077.11,597342.62,572103.27,539547.85,497303.9,540961.7,527173.02,496719.9,462772.39,424080.04
Cote d'Ivoire,AIDS (AIM),PLHIV not on ART,All ages,346284.93,345850.53,339484.8,331623.9,321187.7,310403.76,203492.34,168957.8,135727.49,101160.58,64509.72
DRC,AIDS (AIM),PLHIV not on ART,All ages,406251.39,381046.84,353516.92,325688.07,295571.15,262367.64,215372.14,185402.84,156585.87,127546.55,97741.64
Ethiopia,AIDS (AIM),PLHIV not on ART,All ages,513864.37,464128.34,434863.05,402983.15,365387.8,330705.72,251611.77,212099.02,172824.58,161286.23,153056.22
Haiti,AIDS (AIM),PLHIV not on ART,All ages,155938.67,139014.17,120301.71,100881.37,81789.07,66888.54,57792.72,48070.02,34837.25,22360.03,10157.07
Indonesia,AIDS (AIM),PLHIV not on ART,All ages,481941.5979,522326.3191,556918.8057,587605.4098,613596.3682,636057.8388,648025.5,654419.36,663092.76,672916.77,697325.15
Jamaica,AIDS (AIM),PLHIV not on ART,All ages,23385.48892,22590.71397,21689.82316,20465.83,20179.57,19898.28,15411.51,9932.26,8779.83,7643.2,6466.72
Kenya,AIDS (AIM),PLHIV not on ART,All ages,965311.056,877556.1083,835055.3997,821847.1629,774787.1724,686190.4861,610546.431,584000.278,566650.973,541057.7276,510339.51
Malawi,AIDS (AIM),PLHIV not on ART,All ages,739680.29,679611.72,603874.51,535085.36,472689.22,410481.16,361012.24,313047.53,262433.84,213749.25,168014.38
Morocco,AIDS (AIM),PLHIV not on ART,All ages,20141.72966,19921.59287,19085.00541,18135.72664,17311.88491,16230.65009,12402.22924,10169.91,9109.92,6797.59,6153.98
Mozambique,AIDS (AIM),PLHIV not on ART,All ages,1136675.92,1133617.89,1123005.49,1044504.73,903563.96,783693.16,675617.4,588007.83,500220.08,411603.28,316130.24
Myanmar,AIDS (AIM),PLHIV not on ART,All ages,209200.5351,195824.7621,180512.5026,164633.0509,147710.82,128730.62,108568.9,99174.1,89749.03,80035.02,69873.75
Nigeria,AIDS (AIM),PLHIV not on ART,All ages,2804910.68,2797044.964,2757043.91,2691024.13,2622358.97,2587196.8,2221405.97,1886485.83,1456602.26,993534.81,496656.45
Pakistan,AIDS (AIM),PLHIV not on ART,All ages,46459.77135,55410.93,65245.87,75271.11,85598.02,96200.81,98913.48,100250.51,99038.01,95096.57,88176.33
Philippines,AIDS (AIM),PLHIV not on ART,All ages,15277.87684,18866.8475,22304.77682,25957.57992,30211.16048,32364.33096,32587.84593,31732.79068,30898.61599,32205.81093,33672.66918
Russia,AIDS (AIM),PLHIV not on ART,All ages,591649.07,668992.27,729954.26,790878.97,855502.35,950967.83,1034891.12,1145655.57,1261335.81,1387820.74,1526099.27
South Sudan,AIDS (AIM),PLHIV not on ART,All ages,155840.22,159857.57,163498.53,166095.34,166894.18,163694.14,156828.61,150614.94,145416.52,141268.04,138165.45
South Africa,AIDS (AIM),PLHIV not on ART,All ages,5298206.71,4933637.14,4548397.81,4215143.47,3962437.93,3782589.96,2198639.92,2006147.15,1918650.86,1855132.19,1805692.43
Thailand,AIDS (AIM),PLHIV not on ART,All ages,264406.74,248049.6,232795.35,208589.22,183463.05,161461.49,142992.91,129622.18,119294.56,109484.64,102692.24
Tanzania,AIDS (AIM),PLHIV not on ART,All ages,1136998.48,1114553.16,1023079.93,902465.15,802007.25,695967.72,395210.56,293050.11,255999.6,233163.68,215296.27
Uganda,AIDS (AIM),PLHIV not on ART,All ages,977621.97,984716.39,943367.48,853375.3,743963.26,669911.74,594719.13,531893.52,466637.79,394815.49,316563.18
Ukraine,AIDS (AIM),PLHIV not on ART,All ages,205751.66,193198.55,178491.6,162805.47,152702.53,155388.51,139334.41,119183.2,121263.23,127926.3,135198.89
Vietnam,AIDS (AIM),PLHIV not on ART,All ages,189533.1888,184739.3991,178260.1639,171213.84,164090.57,155186.84,143508.88,135290.54,132386.06,128534.55,124009.74
Zambia,AIDS (AIM),PLHIV not on ART,All ages,736484.28,701351.7,665815.25,616711.1,556176.1,496839.11,537860.84,558052.43,513551.96,449242.95,379515.66
Zimbabwe,AIDS (AIM),PLHIV not on ART,All ages,927485.03,820755.3,762817.11,716557.87,648784,592641.1,370077.25,174208.3,171587.93,173623.83,101268.11
