Spectrum Version: 5.441,,
Country,Indicator,2015
Brazil,Population aged 15-49,110690014
Cambodia,Population aged 15-49,8420687
Cameroon,Population aged 15-49,11218854
China,Population aged 15-49,752014584
C™te d'Ivoire,Population aged 15-49,11189062
Democratic Republic of the Congo,Population aged 15-49,33036305
Ethiopia,Population aged 15-49,48648892
Haiti,Population aged 15-49,5740923
Indonesia,Population aged 15-49,138544295
Jamaica,Population aged 15-49,1510354
Kenya,Population aged 15-49,21435381
Malawi,Population aged 15-49,8064753
Morocco,Population aged 15-49,17815237
Mozambique,Population aged 15-49,11542234
Myanmar,Population aged 15-49,27504176
Nigeria,Population aged 15-49,87258045
Pakistan,Population aged 15-49,96327005
Philippines,Population aged 15-49,52715815
Russian Federation,Population aged 15-49,68468847
South Sudan,Population aged 15-49,5911054
South Africa,Population aged 15-49,29782872
Thailand,Population aged 15-49,33525686
United Republic of Tanzania,Population aged 15-49,23286677
Uganda,Population aged 15-49,16581509
Ukraine,Population aged 15-49,21200999
Viet Nam,Population aged 15-49,50316826
Zambia,Population aged 15-49,7320551
Zimbabwe,Population aged 15-49,7753179
